sku,name,Brand,Category,Month,Year,default_price,net_selling_price
1,Angels Avis Long,Angels,HAIR BRAIDS,Jan,2025,81.2,
2,Darling Fluffy Kinky,Darling,HAIR BRAIDS,Jan,2025,406,
3,Angels Natural Locs,Angels,HAIR BRAIDS,Jan,2025,638,
4,Tamasha Dread,Angels,HAIR BRAIDS,Jan,2025,324.8,
6,Baby Love Anti-dandruffs,Bamsi,HAIR FOOD,Jan,2025,301.6,
7,Bamsi Hair fertilizer,Bamsi,HAIR FOOD,Jan,2025,58,
8,Radiant Anti-dandruff,Radiant,HAIR FOOD,Jan,2025,92.8,
9,Amara body lotion milk,Amara,BODY LOTION,Jan,2025,133.4,
10,Amara body lotion men,Amara,BODY LOTION,Jan,2025,232,
11,Amara body lotion coco butter,Amara,BODY LOTION,Jan,2025,232,
13,Movit Curl Gel,Movit,HAIR GELS,Jan,2025,220.4,
14,Movit Styling Gel,Movit,HAIR GELS,Jan,2025,162.4,
15,MAYBELLINE DREAM MATTE MOUSSE HAZELNUT,Maybelline,Foundation,Jan,2025,1160,
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,Maybelline,Foundation,Jan,2025,1082.28,
17,MAYBELLINE FIT ME POWDER 330 TOFFEE ,Maybelline,Powder,Jan,2025,1082.28,
18,MAYBELLINE FIT ME POWDER 340 CAPPUCCINO ,Maybelline,Powder,Jan,2025,1082.28,
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,Maybelline,Concealer,Jan,2025,928,
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,Maybelline,Concealer,Jan,2025,928,
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,Maybelline,Highlighter,Jan,2025,1082.28,
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,Maybelline,Highlighter,Jan,2025,1160,
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,Maybelline,Eye Liner,Jan,2025,928,
24,MAYBELLINE EYE STUDIO GEL LINER BLACK  BLACK,Maybelline,Eye Liner,Jan,2025,696,
25,MAYBELLINE LASH SENSATIONAL MASCARA,Maybelline,Mascara,Jan,2025,928,
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,Maybelline,Mascara,Jan,2025,1160,
27,MAYBELLINE BABY LIPS BALM CHERRY ME,Maybelline,Lip balm,Jan,2025,290,
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),Maybelline,Lip balm,Jan,2025,290,
29,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 68 SASSY,Maybelline,Lip Gloss,Jan,2025,1160,
30,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 70 SO HOT,Maybelline,Lip Gloss,Jan,2025,1160,
31,Garnier Even & Matte Soft Smoothing Toner 125 Ml,Garnier,Face Wash,Jan,2025,1218,
32,Garnier Micellar Cleansing Water 400 Ml,Garnier,Face Wash,Jan,2025,2262,
33,Garnier oil control complete vanishing cream 40 ml,Garnier,Face Cream,Jan,2025,2400,
34,Garnier Pure Active Intensive Spots,Garnier,Face Cream,Jan,2025,13022,
35,Garnier ven & matte soft smoothing 125 ml,Garnier,Face Cream,Jan,2025,392.08,
36,L'Oreal Paris Age Perfect Day Cream 50Ml,L'Oreal,Face Cream,Jan,2025,9000,
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,L'Oreal,Face Cream,Jan,2025,1199,
38,L'Oreal Paris Age Perfect Night Cream 50Ml,L'Oreal,Face Cream,Jan,2025,1199,
40,L'Oreal Paris Revitalift Day Cream 50Ml,L'Oreal,Face Cream,Jan,2025,2800,
41,L'Oreal Paris Pure Clay Detox Mask,L'Oreal,Face Cream,Jan,2025,6903,
