sku,name,default_price,net_selling_price,month,year,wholesale_pct,distributor_pct,tax_pct,commission_pct,distcost_pct,marketing_pct,salaries_pct,rent_pct,other_pct
1,Angels Avis Long,70,81.2,2,2024,0,0,16,0,0,0,0,0,0
2,Darling Fluffy Kinky,350,406,2,2024,0,0,16,0,0,0,0,0,0
3,Angels Natural Locs,550,638,2,2024,0,0,16,0,0,0,0,0,0
4,Tamasha Dread,280,324.8,2,2024,0,0,16,0,0,0,0,0,0
6,Baby Love Anti-dandruffs,260,301.6,2,2024,0,0,16,0,0,0,0,0,0
7,Bamsi Hair fertilizer,50,58,2,2024,0,0,16,0,0,0,0,0,0
8,Radiant Anti-dandruff,80,92.8,2,2024,0,0,16,0,0,0,0,0,0
9,Amara body lotion milk,115,133.4,2,2024,0,0,16,0,0,0,0,0,0
10,Amara body lotion men,200,232,2,2024,0,0,16,0,0,0,0,0,0
11,Amara body lotion coco butter,200,232,2,2024,0,0,16,0,0,0,0,0,0
13,Movit Curl Gel,190,220.4,2,2024,0,0,16,0,0,0,0,0,0
14,Movit Styling Gel,140,162.4,2,2024,0,0,16,0,0,0,0,0,0
15,MAYBELLINE DREAM MATTE MOUSSE HAZELNUT,1000,1160,2,2024,0,0,16,0,0,0,0,0,0
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,933,1082.28,2,2024,0,0,16,0,0,0,0,0,0
17,MAYBELLINE FIT ME POWDER 330 TOFFEE ,933,1082.28,2,2024,0,0,16,0,0,0,0,0,0
18,MAYBELLINE FIT ME POWDER 340 CAPPUCCINO ,933,1082.28,2,2024,0,0,16,0,0,0,0,0,0
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,800,928,2,2024,0,0,16,0,0,0,0,0,0
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,800,928,2,2024,0,0,16,0,0,0,0,0,0
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,933,1082.28,2,2024,0,0,16,0,0,0,0,0,0
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1000,1160,2,2024,0,0,16,0,0,0,0,0,0
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,800,928,2,2024,0,0,16,0,0,0,0,0,0
24,MAYBELLINE EYE STUDIO GEL LINER BLACK  BLACK,600,696,2,2024,0,0,16,0,0,0,0,0,0
25,MAYBELLINE LASH SENSATIONAL MASCARA,800,928,2,2024,0,0,16,0,0,0,0,0,0
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,1000,1160,2,2024,0,0,16,0,0,0,0,0,0
27,MAYBELLINE BABY LIPS BALM CHERRY ME,250,290,2,2024,0,0,16,0,0,0,0,0,0
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),250,290,2,2024,0,0,16,0,0,0,0,0,0
29,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 68 SASSY,1000,1160,2,2024,0,0,16,0,0,0,0,0,0
30,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 70 SO HOT,1000,1160,2,2024,0,0,16,0,0,0,0,0,0
31,Garnier Even & Matte Soft Smoothing Toner 125 Ml,1050,1218,2,2024,0,0,16,0,0,0,0,0,0
32,Garnier Micellar Cleansing Water 400 Ml,1950,2262,2,2024,0,0,16,0,0,0,0,0,0
33,Garnier oil control complete vanishing cream 40 ml,2069,2400.04,2,2024,0,0,16,0,0,0,0,0,0
34,Garnier Pure Active Intensive Spots,11226,13022.16,2,2024,0,0,16,0,0,0,0,0,0
35,Garnier ven & matte soft smoothing 125 ml,338,392.08,2,2024,0,0,16,0,0,0,0,0,0
36,L'Oreal Paris Age Perfect Day Cream 50Ml,7759,9000.44,2,2024,0,0,16,0,0,0,0,0,0
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1034,1199.44,2,2024,0,0,16,0,0,0,0,0,0
38,L'Oreal Paris Age Perfect Night Cream 50Ml,1034,1199.44,2,2024,0,0,16,0,0,0,0,0,0
40,L'Oreal Paris Revitalift Day Cream 50Ml,2414,2800.24,2,2024,0,0,16,0,0,0,0,0,0
41,L'Oreal Paris Pure Clay Detox Mask,5951,6903.16,2,2024,0,0,16,0,0,0,0,0,0
